"id","percent_dem","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
1,21.0606060606061,7260,"Benton County, Tennessee",16133,7958,8175,798,789,1069,863,850,1551,1688,2241,1197,1235,2252,1154,446,47.5,3201,13215,12932,12267,4681,3852,12932,6274,6658,3852,1787,2065,16133,15951,182,15951,15760,146,19,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,182,3,41,0,0,15938,149,68,26,10,128,388,169,0,0,219,15745,15386,146,19,26,0,0,168,124,44,9158,12897,6253,6644,1168,270,357,503,38,11764,661,1294,5514,2026,759,1078,432,9809,1510,1551,1438,205,1688,1598,302,4673,3879,440,3852,2894,563,"31724","33277","33866","35071","38021","351926","376463","369217","379966","394149",6
2,39.3909497500658,30408,"Tuolumne County, California",54147,28023,26124,2378,2557,2488,2448,2859,6699,5520,6259,4101,4729,8272,4026,1811,48.7,8986,46155,45161,43650,17348,14109,45161,23504,21657,14109,6778,7331,54147,51358,2789,51358,46905,1007,948,77,2,26,3,753,3,69,443,61,120,7,50,146,71,14,17,44,1599,2789,292,965,400,19,49560,1351,2152,1325,215,2575,6810,4074,247,60,2429,47337,43139,979,765,730,146,102,1476,20,1456,31572,44405,23139,21266,3744,632,1349,1662,101,41417,696,3033,10643,13399,4394,6019,3233,37688,9252,6699,5785,1090,5520,5011,1339,15089,13891,2949,14109,13001,3874,"42861","43468","44195","46104","49622","2434509","2721229","2591780","2781823","2597976",5
3,19.9094022759916,9051,"Smith County, Tennessee",19926,10027,9899,1126,1113,1437,1229,1124,2427,2253,2940,1606,1370,2047,906,348,40.6,4502,16007,15424,14835,4084,3301,15424,7617,7807,3301,1509,1792,19926,19389,537,19389,18407,551,93,0,24,0,0,89,0,0,0,0,78,0,11,0,0,0,0,0,249,537,156,128,12,0,18914,716,225,131,0,486,572,335,30,0,207,19354,18258,432,74,89,0,73,428,123,305,8838,15155,7435,7720,1527,343,712,381,91,13897,678,1287,6006,2626,915,1631,754,11932,2385,2427,2141,579,2253,2109,506,5916,4938,814,3301,2744,486,"35170","36559","39152","41898","44033","583817","636665","752211","739071","728317",2
4,66.6793051090463,567053,"Mecklenburg County, North Carolina",1095170,526453,568717,72857,71529,71343,69272,71418,187428,160963,146983,63972,56625,75426,33207,14147,35.2,257739,864690,837431,798140,154279,122780,837431,395861,441570,122780,51455,71325,1095170,1051563,43607,1051563,568313,346514,3818,529,11,48,15,66376,28198,8001,2313,897,3354,9074,14539,426,64,121,22,219,66116,43607,12221,3578,6458,1864,605943,365738,11449,75560,1592,81353,146710,54504,11536,6107,74563,948460,506691,340835,2351,65898,380,4023,28282,1489,26793,455602,742205,346023,396182,98680,12521,24937,44385,16837,738751,34256,35842,122643,145308,62112,223029,115561,668653,338590,187428,171875,96268,160963,144138,81379,267580,244486,117475,122780,108154,43468,"55899","58946","61278","63805","66863","104390632","111766757","116115959","121905634","126244080",1
5,16.3955852454255,6886,"Clay County, Illinois",13217,6564,6653,748,796,916,803,658,1490,1545,1634,922,1000,1523,786,396,42.1,3016,10511,10201,9867,3145,2705,10201,5000,5201,2705,1209,1496,13217,12883,334,12883,12717,58,33,1,1,0,0,72,0,0,68,0,0,0,4,0,0,0,0,0,3,334,97,40,3,1,12890,189,107,235,160,3,33,16,9,0,8,13184,12687,58,33,72,0,0,334,0,334,6452,10189,4995,5194,905,131,298,401,75,9296,286,862,3550,2022,1150,911,515,8148,1426,1490,1408,276,1545,1454,329,3556,3188,517,2705,2098,304,"35917","38221","39878","39303","43835","558576","575904","591431","580639","547261",6
6,19.5461694001348,4451,"Cuming County, Nebraska",8882,4494,4388,569,551,678,476,537,998,897,970,726,550,919,677,334,40.9,2168,6947,6714,6525,2167,1930,6714,3407,3307,1930,892,1038,8882,8548,334,8548,8186,24,38,0,0,0,6,15,6,0,3,0,0,0,6,13,0,10,0,3,272,334,29,43,7,0,8511,70,98,22,14,518,892,859,6,0,27,7990,7824,24,25,15,13,4,85,0,85,4258,6353,3174,3179,643,64,175,350,54,6071,340,267,2281,1106,677,1026,374,5464,1400,998,927,288,897,747,255,2246,2057,502,1930,1733,355,"75292","60512","57483","64751","72236","958399","850569","881297","809301","770227",6
9,31.0315907184792,7154,"Crawford County, Iowa",16998,8486,8512,1068,1313,1079,1231,1355,2234,1671,1805,1402,945,1528,977,390,36.4,4203,13387,12795,11802,3464,2895,12795,6390,6405,2895,1331,1564,16998,16304,694,16304,13847,528,95,0,0,0,0,387,0,53,0,0,68,0,266,23,23,0,0,0,1424,694,55,28,27,0,14531,630,129,418,32,1991,4847,3823,8,0,1016,12151,11050,512,47,387,23,4,128,1,127,7068,10967,5512,5455,1843,284,512,926,121,10952,915,1077,4264,2110,928,1198,460,8960,1658,2234,1606,360,1671,1323,195,4152,3363,632,2895,2668,471,"37598","39707","41723","43143","45659","758647","782055","806577","814788","803427",6
10,21.6912450998693,5357,"Nolan County, Texas",14901,7670,7231,1053,953,1217,1292,840,1625,1699,1687,987,832,1506,816,394,37.1,3853,11508,11048,10353,3140,2716,11048,5580,5468,2716,1231,1485,14901,14472,429,14472,12777,827,95,0,0,0,0,25,21,0,0,4,0,0,0,0,0,0,0,0,748,429,51,49,24,0,13167,917,187,128,36,974,5716,5507,0,0,209,9185,8124,769,39,25,0,0,228,32,196,7075,10460,5138,5322,1502,501,535,405,61,9546,661,998,3298,2287,864,1024,414,7887,1438,1625,1429,230,1699,1485,270,3506,2941,621,2716,2032,317,"38890","41412","43991","45680","47428","895364","908038","930036","978081","949888",5
12,24.5440789997611,12557,"Hot Spring County, Arkansas",33667,17663,16004,1645,2222,2086,1847,1732,4568,4170,4426,2171,2491,3774,1983,552,40.9,7177,27380,26490,25605,7653,6309,26490,13749,12741,6309,2872,3437,33667,32788,879,32788,28490,3797,95,48,0,0,0,78,0,0,13,0,0,0,65,6,6,0,0,0,322,879,106,331,124,48,29261,4055,507,217,6,553,1187,1073,83,6,25,32480,27692,3785,95,78,6,5,819,160,659,14490,26288,13616,12672,2355,361,853,954,187,24135,800,2226,9279,6212,1917,2417,1284,21109,3701,4568,4140,609,4170,3623,679,9088,8119,1378,6309,5227,1035,"29691","30542","31348","32211","34907","1006867","1039526","1070319","1015593","1047582",5
14,42.5782462580811,148186,"Harford County, Maryland",253736,124065,129671,14178,16032,15961,16074,14973,31615,31421,35929,19141,17370,24581,11798,4663,40.8,56569,204422,197167,189032,50743,41042,197167,95057,102110,41042,17988,23054,253736,243706,10030,243706,197023,35208,380,7,43,0,0,6877,1575,1278,1092,158,970,408,1396,53,26,6,21,0,4165,10030,3270,980,2445,274,205569,40239,2117,10141,358,6164,11856,2963,3686,308,4899,241880,191074,34527,311,6662,6,1049,8251,593,7658,100952,194010,93718,100292,20649,2543,7442,8102,2562,176518,3815,8433,45907,38313,14924,37733,27393,164270,65126,31615,30174,12006,31421,29888,15313,72440,68492,26212,41042,35716,11595,"53702","55490","56965","59333","62868","12260475","12867720","13306731","13875895","13910169",2
